Order	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Chytridiomycota;unidentified;unidentified	17	0	64	2	1	34	13	0	0	15
Fungi;Glomeromycota;?;?	0	0	0	0	0	0	0	71	0	0
Fungi;Glomeromycota;Glomeromycetes;Glomerales	4	0	63	0	0	215	0	0	0	25
Fungi;Kickxellomycota;?;?	36	0	39	49	24	26	9	26	114	231
Fungi;Kickxellomycota;Kickxellomycetes;?	0	0	0	0	0	0	0	0	0	14
Fungi;Kickxellomycota;Kickxellomycetes;Kickxellales	0	0	0	0	0	0	0	0	0	87
Fungi;Mortierellomycota;?;?	438	0	33	69	70	350	936	51	180	13
Fungi;Mortierellomycota;Mortierellomycetes;?	0	0	5	12	102	295	21	23	0	0
Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales	4000	0	2464	5779	1661	5518	25778	9303	2970	10633
Fungi;Mucoromycota;?;?	470	0	2040	1398	700	1616	109	47	289	311
Fungi;Mucoromycota;Endogonomycetes;?	0	0	3	9	9	19	1	9	9	32
Fungi;Mucoromycota;Endogonomycetes;Endogonales	1	0	6	0	0	0	2	0	0	0
Fungi;Mucoromycota;Endogonomycetes;GS20	0	0	0	45	11	0	0	0	139	1243
Fungi;Mucoromycota;Endogonomycetes;GS21	6	0	21	0	134	8	5	0	68	6
Fungi;Mucoromycota;Endogonomycetes;GS22	0	0	5	9	0	16	0	0	2	6
Fungi;Mucoromycota;Mucoromycetes;?	0	0	0	1	0	1	0	12	0	0
Fungi;Mucoromycota;Umbelopsidomycetes;?	0	0	0	11	2	0	0	474	0	0
Fungi;Mucoromycota;Umbelopsidomycetes;GS23	0	0	18	3510	2902	12	6	181	1116	4361
Fungi;Mucoromycota;Umbelopsidomycetes;Umbelopsidales	5	0	3198	5020	3193	149	294	27	5323	6519
Fungi;Mucoromycota;unidentified;unidentified	0	0	0	0	0	0	0	30	0	0
Fungi;Rozellomycota;?;?	0	0	0	0	0	0	0	65	0	0
Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;?	23	0	54	9	4	170	33	154	3	0
Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS04	0	0	0	3	5	2	0	0	8	4
Fungi;Rozellomycota;Rozellomycotina_cls_Incertae_sedis;GS11	339	0	656	124	57	596	492	182	70	280
Fungi;unidentified;?;?	13	0	3	0	0	43	31	12	0	2
Fungi;unidentified;unidentified;?	52	0	7	9	114	26	26	23	36	5
Fungi;unidentified;unidentified;unidentified	258	0	947	2533	4954	266	48	659	2101	4870
Protista;unidentified;?;?	6	0	46	15	11	18	5	2	5	18
Rhizaria;Cercozoa;?;?	70	0	119	99	42	210	90	99	35	109
Rhizaria;Cercozoa;Cercozoa_cls_Incertae_sedis;?	2	0	20	113	32	19	12	9	3	85
Rhizaria;Cercozoa;unidentified;unidentified	24	0	13	4	1	97	11	8	2	24
noHit;	851	0	506	490	500	1692	840	622	638	908
