Species	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Ascomycota;Leotiomycetes;Helotiales;Chaetomellaceae;Pilidium;?	2	0	0	0	0	0	3	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;?;?	0	0	5	0	0	4	0	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Cryptosporiopsis;unidentified	25	0	5	46	93	33	17	0	33	13
Fungi;Ascomycota;Leotiomycetes;Helotiales;Dermateaceae;Pezicula;?	0	0	2	0	6	11	0	0	8	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Cudoniella;Cudoniella_acicularis	0	0	0	0	0	25	0	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Hymenoscyphus;unidentified	12	0	159	8	0	90	33	5	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Sirococcus;unidentified	0	0	1	0	0	0	0	0	5	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;Tetracladium;Tetracladium_apiense	3	0	1	13	5	0	3	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;unidentified;?	0	0	18	16	22	109	16	12	2	13
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiaceae;unidentified;unidentified	52	0	1127	16	9	222	52	6	0	101
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;?;?	35	0	1	0	0	5	0	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Lauriomyces;Lauriomyces_bellulus	3	0	3	14	4	19	10	10	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Leohumicola;?	0	0	573	583	9	1	0	98	8	232
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Leptodontidium;Leptodontidium_trabinellum	17	0	20	0	0	30	3	0	0	25
Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Leptodontidium;unidentified	27	0	7	0	4	0	5	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;?;?	0	0	0	0	0	0	0	13	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Arachnopeziza;?	0	0	111	0	0	7	18	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Glutinomyces;unidentified	148	0	94	52	34	27	45	67	21	3
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;Lachnum;unidentified	0	0	78	0	0	63	0	0	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;unidentified;?	0	0	0	0	0	46	6	40	0	0
Fungi;Ascomycota;Leotiomycetes;Helotiales;Hyaloscyphaceae;unidentified;unidentified	11	0	10	0	8	20	12	6	18	5
Fungi;Ascomycota;Leotiomycetes;Helotiales;Leotiaceae;Leotia;Leotia_lubrica	8	0	0	0	0	0	1	38	0	143
