Family	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Cordycipitaceae	182	0	185	46	1923	116	33	77	276	20
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae	332	0	981	609	428	864	202	301	196	2469
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreales_fam_Incertae_sedis	1	0	0	29	0	2	0	21	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae	138	0	85	159	130	310	280	72	679	179
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Ophiocordycipitaceae	1376	0	663	287	212	3267	1414	302	104	107
Fungi;Ascomycota;Sordariomycetes;Hypocreales;Stachybotryaceae	17	0	7	0	0	29	1	0	0	0
Fungi;Ascomycota;Sordariomycetes;Hypocreales;unidentified	2463	0	163	631	2058	553	268	182	810	3485
Fungi;Ascomycota;Sordariomycetes;Magnaporthales;Magnaporthaceae	11	0	0	53	0	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Microascales;Halosphaeriaceae	2	0	4	0	0	8	7	0	0	4
Fungi;Ascomycota;Sordariomycetes;Myrmecridiales;unidentified	21	0	0	0	0	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;?	0	0	0	0	0	0	11	0	0	0
Fungi;Ascomycota;Sordariomycetes;Ophiostomatales;Ophiostomataceae	59	0	1	1	0	17	14	0	0	8
Fungi;Ascomycota;Sordariomycetes;Sordariales;?	36	0	907	58	358	116	90	48	68	2
Fungi;Ascomycota;Sordariomycetes;Sordariales;Cephalothecaceae	2	0	11	0	0	4	18	0	0	18
Fungi;Ascomycota;Sordariomycetes;Sordariales;Chaetomiaceae	62	0	31	33	69	189	213	0	6	477
Fungi;Ascomycota;Sordariomycetes;Sordariales;Helminthosphaeriaceae	6	0	1	0	0	2	0	12	9	12
Fungi;Ascomycota;Sordariomycetes;Sordariales;Jobellisiaceae	0	0	6	0	0	144	1	0	0	5
Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae	2	0	5	0	0	0	0	43	0	0
Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariaceae	27	0	20	13	0	116	8	0	14	0
Fungi;Ascomycota;Sordariomycetes;Sordariales;Sordariales_fam_Incertae_sedis	6	0	3	0	11	34	7	6	3	16
Fungi;Ascomycota;Sordariomycetes;Sordariales;unidentified	725	0	693	803	230	251	183	202	178	267
Fungi;Ascomycota;Sordariomycetes;Sordariomycetes_ord_Incertae_sedis;Sordariomycetes_fam_Incertae_sedis	2	0	0	0	0	0	2	0	0	0
Fungi;Ascomycota;Sordariomycetes;Togniniales;?	0	0	0	0	12	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Togniniales;Togniniaceae	33	0	7	0	0	9	58	0	28	0
Fungi;Ascomycota;Sordariomycetes;Xylariales;?	50	0	97	7	110	9	82	10	172	27
Fungi;Ascomycota;Sordariomycetes;Xylariales;Apiosporaceae	16	0	73	10	7	66	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Xylariales;Bartaliniaceae	0	0	0	0	8	0	0	0	0	4
Fungi;Ascomycota;Sordariomycetes;Xylariales;Microdochiaceae	0	0	3	35	5	0	0	0	0	0
Fungi;Ascomycota;Sordariomycetes;Xylariales;Sporocadaceae	23	0	67	0	2	46	60	17	22	32
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariaceae	129	0	43	19	16	206	147	15	1	63
Fungi;Ascomycota;Sordariomycetes;Xylariales;Xylariales_fam_Incertae_sedis	59	0	14	31	18	3	50	0	16	0
Fungi;Ascomycota;Sordariomycetes;Xylariales;unidentified	8	0	0	0	0	0	18	0	0	0
Fungi;Ascomycota;Sordariomycetes;unidentified;?	0	0	1	0	0	0	0	11	0	0
Fungi;Ascomycota;Sordariomycetes;unidentified;unidentified	599	0	5	199	167	46	361	125	181	17
Fungi;Ascomycota;Xylonomycetes;GS34;unidentified	0	0	8	6	0	0	1	0	0	24
Fungi;Ascomycota;unidentified;?;?	0	0	0	0	0	0	0	69	0	25
Fungi;Ascomycota;unidentified;unidentified;unidentified	29	0	317	76	0	50	31	105	41	213
