OTU	4robles_ITS2	C-_ITS2	Gambita_1_ITS2	La_Palma5_ITS2	N5_ITS2	Nuevo_Horizonte_ITS2	Pcf1_ITS2	Pcov3_ITS2	San_Isidro_ITS2	Santa_BarbT1_ITS2
OTU.ITSx.178	0	0	0	0	0	0	0	0	18	0
OTU.ITSx.179	0	0	0	18	0	0	0	0	0	0
OTU.ITSx.180	2	0	7	0	0	7	2	0	0	0
OTU.ITSx.181	0	0	0	0	0	0	17	0	0	0
OTU.ITSx.182	6	0	0	0	0	7	4	0	0	0
OTU.ITSx.183	8	0	1	0	3	0	1	0	0	3
OTU.ITSx.184	12	0	0	0	0	3	1	0	0	0
OTU.ITSx.185	5	0	0	0	0	3	6	0	2	0
OTU.ITSx.186	0	0	0	7	0	0	0	0	0	9
OTU.ITSx.187	6	0	2	0	0	0	3	0	5	0
OTU.ITSx.188	0	0	1	15	0	0	0	0	0	0
OTU.ITSx.189	0	0	0	0	0	0	16	0	0	0
OTU.ITSx.190	0	0	4	0	0	12	0	0	0	0
OTU.ITSx.191	1	0	0	0	8	0	0	0	7	0
OTU.ITSx.192	0	0	0	0	0	0	5	4	0	7
OTU.ITSx.193	0	0	0	0	0	16	0	0	0	0
OTU.ITSx.194	4	0	0	0	4	0	0	0	5	2
OTU.ITSx.195	0	0	0	0	0	0	2	13	0	0
OTU.ITSx.196	0	0	10	0	0	5	0	0	0	0
OTU.ITSx.197	6	0	0	0	0	7	2	0	0	0
OTU.ITSx.198	0	0	0	0	0	0	15	0	0	0
OTU.ITSx.199	0	0	0	0	0	0	0	14	0	0
OTU.ITSx.200	2	0	0	0	9	0	1	0	0	2
OTU.ITSx.201	13	0	0	0	0	0	1	0	0	0
OTU.ITSx.202	0	0	0	14	0	0	0	0	0	0
OTU.ITSx.203	14	0	0	0	0	0	0	0	0	0
OTU.ITSx.204	13	0	0	0	0	0	0	0	0	0
OTU.ITSx.205	0	0	0	7	0	1	0	0	0	5
OTU.ITSx.206	6	0	0	0	0	0	7	0	0	0
OTU.ITSx.207	0	0	5	0	0	8	0	0	0	0
OTU.ITSx.208	0	0	0	0	13	0	0	0	0	0
OTU.ITSx.209	4	0	0	0	0	0	8	0	0	0
OTU.ITSx.210	5	0	7	0	0	0	0	0	0	0
OTU.ITSx.211	5	0	3	0	0	0	2	0	0	2
OTU.ITSx.212	0	0	0	12	0	0	0	0	0	0
OTU.ITSx.213	0	0	0	0	0	0	0	12	0	0
OTU.ITSx.214	0	0	0	0	7	0	0	0	5	0
OTU.ITSx.215	3	0	0	0	0	0	0	9	0	0
OTU.ITSx.216	5	0	0	0	0	7	0	0	0	0
OTU.ITSx.217	5	0	1	0	0	0	4	0	2	0
OTU.ITSx.218	0	0	0	0	0	0	12	0	0	0
OTU.ITSx.219	0	0	12	0	0	0	0	0	0	0
OTU.ITSx.220	0	0	0	0	0	11	0	0	0	0
OTU.ITSx.221	0	0	0	0	0	3	8	0	0	0
OTU.ITSx.222	0	0	9	0	0	2	0	0	0	0
OTU.ITSx.223	0	0	0	0	0	0	0	8	0	3
OTU.ITSx.224	0	0	2	0	0	9	0	0	0	0
OTU.ITSx.225	0	0	0	0	2	0	0	0	9	0
OTU.ITSx.226	0	0	1	0	0	5	5	0	0	0
OTU.ITSx.227	0	0	0	0	0	0	0	0	11	0
OTU.ITSx.228	0	0	0	3	0	0	0	0	0	8
OTU.ITSx.229	1	0	0	0	0	0	10	0	0	0
OTU.ITSx.230	7	0	0	0	3	0	1	0	0	0
OTU.ITSx.231	0	0	0	0	0	0	0	0	0	11
OTU.ITSx.232	0	0	0	0	0	4	0	7	0	0
OTU.ITSx.233	5	0	0	1	0	1	3	0	0	0
OTU.ITSx.234	0	0	0	10	0	0	0	0	0	0
OTU.ITSx.235	4	0	5	0	0	1	0	0	0	0
OTU.ITSx.236	0	0	0	0	10	0	0	0	0	0
OTU.ITSx.237	0	0	0	0	0	7	0	3	0	0
OTU.ITSx.238	0	0	0	6	0	0	0	0	0	4
OTU.ITSx.239	0	0	0	0	0	1	0	0	0	9
OTU.ITSx.240	0	0	0	0	0	0	0	0	0	10
OTU.ITSx.241	9	0	0	0	0	0	1	0	0	0
OTU.ITSx.242	0	0	0	0	0	0	0	0	9	0
OTU.ITSx.243	0	0	0	5	1	0	0	0	0	3
OTU.ITSx.244	0	0	0	0	0	9	0	0	0	0
OTU.ITSx.245	0	0	0	0	0	9	0	0	0	0
OTU.ITSx.246	2	0	3	0	0	3	1	0	0	0
OTU.ITSx.247	9	0	0	0	0	0	0	0	0	0
OTU.ITSx.248	0	0	0	0	0	0	0	9	0	0
OTU.ITSx.249	0	0	0	0	0	0	0	0	0	9
OTU.ITSx.250	1	0	0	0	0	8	0	0	0	0
OTU.ITSx.251	0	0	0	8	1	0	0	0	0	0
OTU.ITSx.252	0	0	0	0	4	0	0	5	0	0
OTU.ITSx.253	0	0	0	0	0	0	8	0	0	0
OTU.ITSx.254	0	0	0	0	0	0	0	8	0	0
OTU.ITSx.255	0	0	0	0	0	0	0	0	0	8
OTU.ITSx.256	0	0	0	0	0	0	0	0	8	0
OTU.ITSx.257	0	0	1	0	0	4	0	0	3	0
OTU.ITSx.258	2	0	1	0	0	5	0	0	0	0
OTU.ITSx.259	2	0	0	0	0	0	6	0	0	0
OTU.ITSx.260	3	0	0	0	0	4	0	0	0	0
OTU.ITSx.261	3	0	0	0	0	0	3	0	0	0
OTU.ITSx.262	4	0	0	0	0	0	2	0	0	0
OTU.ITSx.263	0	0	1	0	0	0	0	0	0	5
OTU.ITSx.264	3	0	0	0	0	3	0	0	0	0
OTU.ITSx.265	4	0	0	0	0	0	0	2	0	0
OTU.ITSx.266	0	0	3	0	0	2	0	0	0	0
OTU.ITSx.267	0	0	0	0	0	1	0	0	0	4
OTU.ITSx.268	4	0	0	0	0	0	1	0	0	0
OTU.ITSx.269	0	0	0	1	0	0	0	0	0	3
OTU.ITSx.270	3	0	0	0	0	0	0	0	1	0
OTU.ITSx.271	0	0	0	0	1	3	0	0	0	0
OTU.ITSx.272	1	0	0	0	0	1	0	0	1	0
